0.00,0.00,1.00,-119.81,0.04,0.10,0.04,0.23,0.00,40.60,53.00,712.00,0.00,1.00,0.00,527.00,135.00,50.00,526.00,133.00,50.00,0.18,24.09,22.00,530.00,0.00,0.00,0.00,0.00,0.00,975.00,975.00,0.00,10.00,517.00,516.00,0.00,0.00
0.00,0.00,1.00,-118.77,0.04,0.21,0.03,0.47,0.00,36.66,53.00,826.00,0.00,1.00,0.00,664.00,108.00,54.00,662.00,108.00,54.00,0.20,23.71,28.00,664.00,0.00,0.00,0.00,0.00,0.00,925.00,925.00,0.00,17.00,464.00,464.00,0.00,0.00
0.00,0.00,1.00,-118.87,0.05,0.19,0.06,0.44,0.00,40.64,58.00,934.00,0.00,1.00,0.00,701.00,178.00,55.00,700.00,178.00,55.00,0.22,27.12,26.00,705.00,0.00,0.00,0.00,0.00,0.00,1128.00,1128.00,0.00,18.00,577.00,577.00,0.00,0.00
0.00,0.00,1.00,-118.79,0.05,0.21,0.04,0.57,0.00,39.87,57.00,1061.00,0.00,1.00,0.00,848.00,166.00,47.00,847.00,165.00,47.00,0.22,29.48,29.00,855.00,0.00,0.00,0.00,0.00,0.00,1145.00,1145.00,0.00,33.00,522.00,522.00,0.00,0.00
0.00,0.00,1.00,-118.90,0.05,0.17,0.08,0.41,0.00,35.08,50.00,1021.00,0.00,1.00,0.00,785.00,169.00,67.00,784.00,169.00,67.00,0.20,18.00,44.00,792.00,0.00,0.00,0.00,0.00,0.00,1096.00,1096.00,0.00,26.00,528.00,527.00,0.00,0.00
0.00,0.00,1.00,-118.74,0.04,0.21,0.04,0.35,0.00,27.88,46.00,829.00,0.00,1.00,1.00,670.00,112.00,47.00,670.00,112.00,47.00,0.20,23.10,29.00,670.00,0.00,0.00,0.00,0.00,0.00,1007.00,1006.00,0.00,20.00,507.00,507.00,0.00,0.00
0.00,0.00,1.00,-118.58,0.03,0.24,0.03,0.49,0.00,28.27,40.00,812.00,0.00,1.00,0.00,676.00,98.00,38.00,675.00,98.00,38.00,0.19,27.24,25.00,681.00,0.00,0.00,0.00,0.00,0.00,897.00,897.00,0.00,13.00,414.00,414.00,0.00,0.00
0.00,0.00,1.00,-118.20,0.05,0.26,0.05,0.51,0.00,35.79,47.00,960.00,0.00,1.00,0.00,806.00,124.00,30.00,806.00,124.00,30.00,0.22,22.19,37.00,821.00,0.00,0.00,0.00,0.00,0.00,1008.00,1008.00,0.00,22.00,497.00,497.00,0.00,0.00
0.00,0.00,1.00,-118.96,0.05,0.19,0.04,0.30,0.00,38.47,52.00,1143.00,0.00,1.00,0.00,938.00,181.00,24.00,938.00,181.00,24.00,0.24,14.86,64.00,951.00,0.00,0.00,0.00,0.00,0.00,1292.00,1292.00,0.00,30.00,563.00,563.00,0.00,0.00
0.00,0.00,1.00,-118.81,0.08,0.26,0.08,0.50,0.00,36.01,50.00,1115.00,0.00,1.00,0.00,842.00,241.00,32.00,842.00,240.00,32.00,0.23,23.83,36.00,858.00,0.00,0.00,0.00,0.00,0.00,1090.00,1090.00,0.00,26.00,493.00,492.00,0.00,0.00
